Date,Workflow,Status,Commit,URL
2026-06-13 11:26,Python CI,❌ FAIL,fix: replace heredoc with echo to prevent YAML indentation errors,https://github.com/saifmukhtar/antimatter/actions/runs/27465425674
2026-06-13 11:26,Extension CI,✅ PASS,fix: replace heredoc with echo to prevent YAML indentation errors,https://github.com/saifmukhtar/antimatter/actions/runs/27465425675
2026-06-13 11:27,npm_and_yarn in /extension for esbuild - Update #1411136779,❌ FAIL,fix: replace heredoc with echo to prevent YAML indentation errors,https://github.com/saifmukhtar/antimatter/actions/runs/27465427373
2026-06-13 11:27,Android CI,✅ PASS,fix: replace heredoc with echo to prevent YAML indentation errors,https://github.com/saifmukhtar/antimatter/actions/runs/27465425661
2026-06-13 11:28,CodeQL Advanced,✅ PASS,docs: add DeepWiki and social badges to README,https://github.com/saifmukhtar/antimatter/actions/runs/27465239027
2026-06-13 11:28,Android CI,✅ PASS,Merge pull request #2 from saifmukhtar/dependabot/npm_and_yarn/extension/esbuild-0.28.1,https://github.com/saifmukhtar/antimatter/actions/runs/27465452495
2026-06-13 11:30,CI,❌ FAIL,fix: replace heredoc with echo to prevent YAML indentation errors,https://github.com/saifmukhtar/antimatter/actions/runs/27465425670
2026-06-13 11:32,CI,❌ FAIL,Merge pull request #2 from saifmukhtar/dependabot/npm_and_yarn/extension/esbuild-0.28.1,https://github.com/saifmukhtar/antimatter/actions/runs/27465452489
2026-06-13 11:33,CodeQL Advanced,⚠️ CANCEL,Merge pull request #2 from saifmukhtar/dependabot/npm_and_yarn/extension/esbuild-0.28.1,https://github.com/saifmukhtar/antimatter/actions/runs/27465452484
2026-06-13 11:35,CodeQL Advanced,✅ PASS,fix: replace heredoc with echo to prevent YAML indentation errors,https://github.com/saifmukhtar/antimatter/actions/runs/27465425685
2026-06-13 11:38,Python CI,✅ PASS,fix(python): correct invalid PyPI classifier in pyproject.toml,https://github.com/saifmukhtar/antimatter/actions/runs/27465693643
2026-06-13 11:39,Graph Update: pip in /plugin #1411139512,✅ PASS,fix(python): correct invalid PyPI classifier in pyproject.toml,https://github.com/saifmukhtar/antimatter/actions/runs/27465694048
2026-06-13 11:40,Android CI,✅ PASS,fix(python): correct invalid PyPI classifier in pyproject.toml,https://github.com/saifmukhtar/antimatter/actions/runs/27465693640
2026-06-13 11:43,CI,✅ PASS,fix(python): correct invalid PyPI classifier in pyproject.toml,https://github.com/saifmukhtar/antimatter/actions/runs/27465693645
2026-06-13 11:48,CodeQL Advanced,✅ PASS,fix(python): correct invalid PyPI classifier in pyproject.toml,https://github.com/saifmukhtar/antimatter/actions/runs/27465693612
2026-06-13 12:12,Extension CI,✅ PASS,security: fix CodeQL vulnerabilities (injection auth permissions logs),https://github.com/saifmukhtar/antimatter/actions/runs/27466414671
2026-06-13 12:14,Android CI,✅ PASS,security: fix CodeQL vulnerabilities (injection auth permissions logs),https://github.com/saifmukhtar/antimatter/actions/runs/27466414667
2026-06-13 12:21,CodeQL Advanced,✅ PASS,security: fix CodeQL vulnerabilities (injection auth permissions logs),https://github.com/saifmukhtar/antimatter/actions/runs/27466414684
2026-06-13 12:29,Python CI,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466800994
2026-06-13 12:30,Extension CI,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466800993
2026-06-13 12:31,Android CI,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466801000
2026-06-13 12:39,CodeQL Advanced,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466801004
2026-06-14 09:01,Python CI,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010329
2026-06-14 09:02,Extension CI,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010348
2026-06-14 09:04,Android CI,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010347
2026-06-14 09:11,CodeQL Advanced,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010402
2026-06-15 20:38,Core CI,❌ FAIL,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574862489
2026-06-15 20:39,Deploy Documentation,✅ PASS,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574862495
2026-06-15 20:39,Graph Update: pip in /adapters/ag2, /core, /core/gateway, /core/shared-config, /core/shared-crypto, /core/shared-fs, /core/shared-protocol, /plugin #1414546487,✅ PASS,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574861143
2026-06-15 20:40,Core CI,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574950579
2026-06-15 20:40,Adapters CI,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574951546
2026-06-15 20:41,npm_and_yarn in /adapters/ag for form-data - Update #1414549423,✅ PASS,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574975318
2026-06-15 20:42,Android CI,❌ FAIL,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574859444
2026-06-15 20:44,Android CI,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574950598
2026-06-15 20:45,Android CI,❌ FAIL,chore(deps-dev): bump form-data from 4.0.5 to 4.0.6 in /adapters/ag,https://github.com/saifmukhtar/antimatter/actions/runs/27575026885
2026-06-15 20:47,CodeQL Advanced,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574952288
2026-06-15 20:50,CodeQL Advanced,❌ FAIL,chore(deps-dev): bump form-data from 4.0.5 to 4.0.6 in /adapters/ag,https://github.com/saifmukhtar/antimatter/actions/runs/27575026906
2026-06-15 22:21,iOS CI,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233232
2026-06-15 22:21,Adapters CI,❌ FAIL,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233236
2026-06-15 22:22,Graph Update: uv in /core, /core/gateway, /core/shared-fs #1414773591,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580235376
2026-06-15 22:23,npm_and_yarn in /adapters/ag for js-yaml - Update #1414775372,❌ FAIL,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27580281687
2026-06-15 22:30,Android CI,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233486
2026-06-15 22:31,CodeQL Advanced,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233296
2026-06-15 22:35,iOS CI,✅ PASS,Merge pull request #3 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/form-data-4.0.6,https://github.com/saifmukhtar/antimatter/actions/runs/27580907075
2026-06-15 22:36,Android CI,⚠️ CANCEL,Merge pull request #3 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/form-data-4.0.6,https://github.com/saifmukhtar/antimatter/actions/runs/27580907090
2026-06-15 22:36,npm_and_yarn in /adapters/ag for js-yaml - Update #1414808737,⚠️ CANCEL,Merge pull request #3 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/form-data-4.0.6,https://github.com/saifmukhtar/antimatter/actions/runs/27580911135
2026-06-15 22:38,iOS CI,✅ PASS,docs: integrate custom logo Mermaid diagram support and update feature highlights,https://github.com/saifmukhtar/antimatter/actions/runs/27581014182
2026-06-15 22:38,Deploy Documentation,✅ PASS,docs: integrate custom logo Mermaid diagram support and update feature highlights,https://github.com/saifmukhtar/antimatter/actions/runs/27581014431
2026-06-15 22:39,npm_and_yarn in /adapters/ag for js-yaml - Update #1414813015,❌ FAIL,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27581033614
2026-06-15 22:39,Android CI,✅ PASS,docs: integrate custom logo Mermaid diagram support and update feature highlights,https://github.com/saifmukhtar/antimatter/actions/runs/27581014177
2026-06-15 22:46,CodeQL Advanced,✅ PASS,Merge pull request #3 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/form-data-4.0.6,https://github.com/saifmukhtar/antimatter/actions/runs/27580907050
2026-06-15 22:46,iOS CI,✅ PASS,build: force js-yaml update to v4.2.0 via overrides to fix dependabot vulnerability alert,https://github.com/saifmukhtar/antimatter/actions/runs/27581377524
2026-06-15 22:46,Adapters CI,✅ PASS,build: force js-yaml update to v4.2.0 via overrides to fix dependabot vulnerability alert,https://github.com/saifmukhtar/antimatter/actions/runs/27581377512
2026-06-15 22:48,Android CI,✅ PASS,build: force js-yaml update to v4.2.0 via overrides to fix dependabot vulnerability alert,https://github.com/saifmukhtar/antimatter/actions/runs/27581377503
2026-06-16 12:22,Core CI,✅ PASS,added new documenattion,https://github.com/saifmukhtar/antimatter/actions/runs/27617160632
2026-06-16 12:26,Android CI,✅ PASS,added new documenattion,https://github.com/saifmukhtar/antimatter/actions/runs/27617160728
2026-06-17 08:33,iOS CI,✅ PASS,Chore: Added proper license and deleted unused files,https://github.com/saifmukhtar/antimatter/actions/runs/27676314040
2026-06-17 08:33,Core CI,✅ PASS,Chore: Added proper license and deleted unused files,https://github.com/saifmukhtar/antimatter/actions/runs/27676315771
2026-06-17 08:34,npm_and_yarn in /docs for esbuild - Update #1418669298,❌ FAIL,Chore: Added proper license and deleted unused files,https://github.com/saifmukhtar/antimatter/actions/runs/27676328903
2026-06-17 08:35,npm_and_yarn in /docs for astro - Update #1418668986,✅ PASS,Chore: Added proper license and deleted unused files,https://github.com/saifmukhtar/antimatter/actions/runs/27676324662
2026-06-17 08:35,Core CI,✅ PASS,chore(deps): bump astro @astrojs/starlight and @astrojs/starlight-tailwind,https://github.com/saifmukhtar/antimatter/actions/runs/27676402977
2026-06-17 08:35,Adapters CI,✅ PASS,chore(deps): bump astro @astrojs/starlight and @astrojs/starlight-tailwind,https://github.com/saifmukhtar/antimatter/actions/runs/27676403146
2026-06-17 08:36,Android CI,❌ FAIL,Chore: Added proper license and deleted unused files,https://github.com/saifmukhtar/antimatter/actions/runs/27676314112
2026-06-17 08:38,Android CI,❌ FAIL,chore(deps): bump astro @astrojs/starlight and @astrojs/starlight-tailwind,https://github.com/saifmukhtar/antimatter/actions/runs/27676403054
2026-06-17 08:48,Deploy Docs to Cloudflare Pages,✅ PASS,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27677072696
2026-06-18 20:09,iOS CI,✅ PASS,Chore: Adding leftover files,https://github.com/saifmukhtar/antimatter/actions/runs/27786288660
2026-06-18 20:09,Adapters CI,❌ FAIL,Chore: Adding leftover files,https://github.com/saifmukhtar/antimatter/actions/runs/27786288704
2026-06-18 20:09,Graph Update: pip in /core/gateway #1421783576,✅ PASS,Chore: Adding leftover files,https://github.com/saifmukhtar/antimatter/actions/runs/27786291176
2026-06-18 20:10,uv in /adapters/ag2 for pytest - Update #1421784177,❌ FAIL,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27786346865
2026-06-18 20:10,npm_and_yarn in /docs for esbuild - Update #1421784205,❌ FAIL,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27786348853
2026-06-18 20:11,iOS CI,✅ PASS,chore(deps-dev): bump undici from 7.27.2 to 7.28.0 in /adapters/ag,https://github.com/saifmukhtar/antimatter/actions/runs/27786398715
2026-06-18 20:11,Android CI,❌ FAIL,Chore: Adding leftover files,https://github.com/saifmukhtar/antimatter/actions/runs/27786288633
2026-06-18 20:13,Android CI,❌ FAIL,chore(deps-dev): bump undici from 7.27.2 to 7.28.0 in /adapters/ag,https://github.com/saifmukhtar/antimatter/actions/runs/27786398876
2026-06-19 04:05,Deploy Docs to Cloudflare Pages,✅ PASS,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27804635525
2026-06-19 20:04,Core CI,✅ PASS,chore: update root config and documentation,https://github.com/saifmukhtar/antimatter/actions/runs/27846058475
2026-06-19 20:04,Adapters CI,❌ FAIL,chore: update root config and documentation,https://github.com/saifmukhtar/antimatter/actions/runs/27846058461
2026-06-19 20:04,Graph Update: pip in /core/gateway, /core/shared-config, /core/shared-crypto, /core/shared-fs, /core/shared-protocol #1423489431,✅ PASS,chore: update root config and documentation,https://github.com/saifmukhtar/antimatter/actions/runs/27846060622
2026-06-19 20:05,npm_and_yarn in /docs for esbuild - Update #1423490227,❌ FAIL,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27846102222
2026-06-19 20:06,npm_and_yarn in /docs for astro, @astrojs/starlight, @astrojs/starlight-tailwind - Update #1423490383,✅ PASS,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27846110645
2026-06-19 20:06,iOS CI,✅ PASS,chore(deps): bump astro @astrojs/starlight and @astrojs/starlight-tailwind,https://github.com/saifmukhtar/antimatter/actions/runs/27846157693
2026-06-19 20:07,Adapters CI,❌ FAIL,chore(deps): bump astro @astrojs/starlight and @astrojs/starlight-tailwind,https://github.com/saifmukhtar/antimatter/actions/runs/27846157721
2026-06-19 20:09,Android CI,❌ FAIL,chore: update root config and documentation,https://github.com/saifmukhtar/antimatter/actions/runs/27846058508
2026-06-19 20:11,Core CI,✅ PASS,fix(ag): add missing fetchHistoryPage method to BrainWatcher,https://github.com/saifmukhtar/antimatter/actions/runs/27846333340
2026-06-19 20:11,Adapters CI,✅ PASS,fix(ag): add missing fetchHistoryPage method to BrainWatcher,https://github.com/saifmukhtar/antimatter/actions/runs/27846333358
2026-06-19 20:13,iOS CI,✅ PASS,test(connect): fix NullPointerException in ConnectionViewModelTest,https://github.com/saifmukhtar/antimatter/actions/runs/27846409892
2026-06-19 20:13,Adapters CI,✅ PASS,test(connect): fix NullPointerException in ConnectionViewModelTest,https://github.com/saifmukhtar/antimatter/actions/runs/27846410029
2026-06-19 20:16,Android CI,❌ FAIL,fix(ag): add missing fetchHistoryPage method to BrainWatcher,https://github.com/saifmukhtar/antimatter/actions/runs/27846333368
2026-06-19 20:21,Android CI,✅ PASS,test(connect): fix NullPointerException in ConnectionViewModelTest,https://github.com/saifmukhtar/antimatter/actions/runs/27846409856
2026-06-19 20:28,Deploy Docs to Cloudflare Pages,✅ PASS,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27846984790
2026-06-20 07:40,Core CI,✅ PASS,Include Star History in README,https://github.com/saifmukhtar/antimatter/actions/runs/27864535138
2026-06-20 07:40,Adapters CI,✅ PASS,Include Star History in README,https://github.com/saifmukhtar/antimatter/actions/runs/27864535145
2026-06-20 07:42,Android CI,✅ PASS,Include Star History in README,https://github.com/saifmukhtar/antimatter/actions/runs/27864535134
2026-06-20 11:20,iOS CI,✅ PASS,Merge pull request #6 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/undici-7.28.0,https://github.com/saifmukhtar/antimatter/actions/runs/27869599693
2026-06-20 11:20,Core CI,✅ PASS,Merge pull request #6 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/undici-7.28.0,https://github.com/saifmukhtar/antimatter/actions/runs/27869599718
2026-06-20 11:22,Android CI,✅ PASS,Merge pull request #6 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/undici-7.28.0,https://github.com/saifmukhtar/antimatter/actions/runs/27869599692
2026-06-20 11:27,iOS CI,✅ PASS,chore(docs): clean up duplicate testing-status file and ignore auto-generated docs,https://github.com/saifmukhtar/antimatter/actions/runs/27869748577
2026-06-20 11:27,Core CI,✅ PASS,Merge pull request #4 from saifmukhtar/dependabot/npm_and_yarn/docs/multi-470afd2faf,https://github.com/saifmukhtar/antimatter/actions/runs/27869765754
2026-06-20 11:28,Adapters CI,✅ PASS,Merge pull request #4 from saifmukhtar/dependabot/npm_and_yarn/docs/multi-470afd2faf,https://github.com/saifmukhtar/antimatter/actions/runs/27869765732
2026-06-20 11:28,Android CI,✅ PASS,chore(docs): clean up duplicate testing-status file and ignore auto-generated docs,https://github.com/saifmukhtar/antimatter/actions/runs/27869748598
2026-06-20 11:29,Android CI,✅ PASS,Merge pull request #4 from saifmukhtar/dependabot/npm_and_yarn/docs/multi-470afd2faf,https://github.com/saifmukhtar/antimatter/actions/runs/27869765745
2026-06-20 11:43,npm_and_yarn in /docs for esbuild - Update #1425075984,❌ FAIL,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27870112875
2026-06-20 11:43,uv in /adapters/ag2 for pydantic-settings - Update #1425076273,✅ PASS,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27870116707
2026-06-20 11:44,Adapters CI,✅ PASS,chore(deps): bump pydantic-settings in /adapters/ag2,https://github.com/saifmukhtar/antimatter/actions/runs/27870138561
2026-06-20 11:45,Android CI,✅ PASS,chore(deps): bump pydantic-settings in /adapters/ag2,https://github.com/saifmukhtar/antimatter/actions/runs/27870138572
2026-06-20 12:04,iOS CI,✅ PASS,docs: add decentralized connectivity architectures to roadmap,https://github.com/saifmukhtar/antimatter/actions/runs/27870617402
2026-06-20 12:04,Adapters CI,✅ PASS,docs: add decentralized connectivity architectures to roadmap,https://github.com/saifmukhtar/antimatter/actions/runs/27870617407
2026-06-20 12:05,Android CI,✅ PASS,docs: add decentralized connectivity architectures to roadmap,https://github.com/saifmukhtar/antimatter/actions/runs/27870617408
2026-06-20 12:10,iOS CI,✅ PASS,docs: add Tailscale to connectivity roadmap,https://github.com/saifmukhtar/antimatter/actions/runs/27870748399
2026-06-20 12:10,Adapters CI,✅ PASS,docs: add Tailscale to connectivity roadmap,https://github.com/saifmukhtar/antimatter/actions/runs/27870748400
2026-06-20 12:11,Android CI,✅ PASS,docs: add Tailscale to connectivity roadmap,https://github.com/saifmukhtar/antimatter/actions/runs/27870748395
2026-06-20 12:21,Core CI,✅ PASS,docs: set Decentralized P2P DHT architecture as In Progress,https://github.com/saifmukhtar/antimatter/actions/runs/27871026952
2026-06-20 12:23,Android CI,✅ PASS,docs: set Decentralized P2P DHT architecture as In Progress,https://github.com/saifmukhtar/antimatter/actions/runs/27871026940
2026-06-21 06:09,iOS CI,✅ PASS,docs: add architectural logs for Zookos Triangle and connectivity decisions,https://github.com/saifmukhtar/antimatter/actions/runs/27895569271
2026-06-21 06:09,Adapters CI,✅ PASS,docs: add architectural logs for Zookos Triangle and connectivity decisions,https://github.com/saifmukhtar/antimatter/actions/runs/27895569277
2026-06-21 06:11,Android CI,✅ PASS,docs: add architectural logs for Zookos Triangle and connectivity decisions,https://github.com/saifmukhtar/antimatter/actions/runs/27895569278
2026-06-23 06:56,iOS CI,✅ PASS,Update server.py,https://github.com/saifmukhtar/antimatter/actions/runs/27987537519
2026-06-23 06:56,Adapters CI,✅ PASS,Update server.py,https://github.com/saifmukhtar/antimatter/actions/runs/27987537437
2026-06-23 06:57,iOS CI,✅ PASS,Merge pull request #11 from martofeld/patch-1,https://github.com/saifmukhtar/antimatter/actions/runs/28008236511
2026-06-23 06:58,Adapters CI,✅ PASS,Merge pull request #11 from martofeld/patch-1,https://github.com/saifmukhtar/antimatter/actions/runs/28008236471
2026-06-23 06:59,Android CI,✅ PASS,Merge pull request #11 from martofeld/patch-1,https://github.com/saifmukhtar/antimatter/actions/runs/28008236459
2026-06-23 07:00,iOS CI,✅ PASS,Merge pull request #10 from saifmukhtar/dependabot/uv/adapters/ag2/pydantic-settings-2.14.2,https://github.com/saifmukhtar/antimatter/actions/runs/28008380102
2026-06-23 07:01,Graph Update: uv in /adapters/ag2 #1431117364,✅ PASS,Merge pull request #10 from saifmukhtar/dependabot/uv/adapters/ag2/pydantic-settings-2.14.2,https://github.com/saifmukhtar/antimatter/actions/runs/28008383150
2026-06-23 07:02,Android CI,✅ PASS,Merge pull request #10 from saifmukhtar/dependabot/uv/adapters/ag2/pydantic-settings-2.14.2,https://github.com/saifmukhtar/antimatter/actions/runs/28008380116
2026-06-23 07:04,Core CI,✅ PASS,chore: bump antimatter-gateway version to 2.0.5,https://github.com/saifmukhtar/antimatter/actions/runs/28008564512
2026-06-23 07:04,Adapters CI,✅ PASS,chore: bump antimatter-gateway version to 2.0.5,https://github.com/saifmukhtar/antimatter/actions/runs/28008564673
2026-06-23 07:06,Android CI,✅ PASS,chore: bump antimatter-gateway version to 2.0.5,https://github.com/saifmukhtar/antimatter/actions/runs/28008563830
2026-06-23 07:12,iOS CI,✅ PASS,ci: add manual workflow dispatch for publishing to PyPI,https://github.com/saifmukhtar/antimatter/actions/runs/28008938631
2026-06-23 07:14,Android CI,✅ PASS,ci: add manual workflow dispatch for publishing to PyPI,https://github.com/saifmukhtar/antimatter/actions/runs/28008938656
2026-06-25 22:46,iOS CI,✅ PASS,chore: update workflow dashboard,https://github.com/robzimpulse/antimatter/actions/runs/28205277825
2026-06-25 22:47,Adapters CI,✅ PASS,chore: update workflow dashboard,https://github.com/robzimpulse/antimatter/actions/runs/28205277842
